time,trace_id,phase,prob,start,end
2019-12-26T00:11:38.980000Z,5M.AST.,S,0.2074349969625473,2019-12-26T00:11:38.940000Z,2019-12-26T00:11:39.230000Z
2019-12-26T00:14:41.660000Z,5M.AST.,S,0.21007201075553894,2019-12-26T00:14:41.610000Z,2019-12-26T00:14:41.860000Z
2019-12-26T00:18:50.840000Z,5M.AST.,P,0.29936546087265015,2019-12-26T00:18:50.650000Z,2019-12-26T00:18:51.170000Z
2019-12-26T00:47:14.370000Z,5M.AST.,P,0.21065908670425415,2019-12-26T00:47:14.360000Z,2019-12-26T00:47:14.370000Z
2019-12-26T00:50:19.510000Z,5M.AST.,P,0.2190704643726349,2019-12-26T00:50:19.510000Z,2019-12-26T00:50:19.710000Z
2019-12-26T00:50:23.090000Z,5M.AST.,S,0.21334052085876465,2019-12-26T00:50:23.050000Z,2019-12-26T00:50:23.350000Z
2019-12-26T00:51:11.930000Z,5M.AST.,P,0.25747203826904297,2019-12-26T00:51:11.720000Z,2019-12-26T00:51:12.170000Z
2019-12-26T00:52:04.370000Z,5M.AST.,P,0.22457879781723022,2019-12-26T00:52:04.270000Z,2019-12-26T00:52:04.600000Z
2019-12-26T00:52:39.360000Z,5M.AST.,S,0.2119750678539276,2019-12-26T00:52:39.330000Z,2019-12-26T00:52:39.630000Z
2019-12-26T01:07:08.610000Z,5M.AST.,P,0.23834478855133057,2019-12-26T01:07:08.510000Z,2019-12-26T01:07:08.890000Z
2019-12-26T01:07:49.110000Z,5M.AST.,S,0.22547684609889984,2019-12-26T01:07:49.030000Z,2019-12-26T01:07:49.360000Z
2019-12-26T01:09:07.010000Z,5M.AST.,P,0.22827556729316711,2019-12-26T01:09:06.900000Z,2019-12-26T01:09:07.260000Z
2019-12-26T01:10:16.060000Z,5M.AST.,P,0.37853458523750305,2019-12-26T01:10:15.820000Z,2019-12-26T01:10:16.400000Z
2019-12-26T01:10:41.260000Z,5M.AST.,P,0.4605024755001068,2019-12-26T01:10:40.990000Z,2019-12-26T01:10:41.710000Z
2019-12-26T01:11:47.440000Z,5M.AST.,P,0.37073421478271484,2019-12-26T01:11:46.930000Z,2019-12-26T01:11:47.950000Z
2019-12-26T01:12:52.970000Z,5M.AST.,P,0.3673521876335144,2019-12-26T01:12:52.770000Z,2019-12-26T01:12:53.340000Z
2019-12-26T01:13:00.270000Z,5M.AST.,S,0.3936985731124878,2019-12-26T01:12:59.990000Z,2019-12-26T01:13:00.610000Z
2019-12-26T01:16:10.840000Z,5M.AST.,P,0.40553995966911316,2019-12-26T01:16:10.480000Z,2019-12-26T01:16:11.360000Z
2019-12-26T01:22:52.230000Z,5M.AST.,P,0.38982218503952026,2019-12-26T01:22:52.010000Z,2019-12-26T01:22:52.520000Z
2019-12-26T01:26:04.470000Z,5M.AST.,P,0.2820030748844147,2019-12-26T01:26:04.280000Z,2019-12-26T01:26:04.770000Z
2019-12-26T01:26:48.430000Z,5M.AST.,S,0.24768614768981934,2019-12-26T01:26:48.330000Z,2019-12-26T01:26:48.690000Z
2019-12-26T01:27:14.530000Z,5M.AST.,S,0.2186523973941803,2019-12-26T01:27:14.490000Z,2019-12-26T01:27:14.820000Z
2019-12-26T01:28:52.240000Z,5M.AST.,P,0.21253935992717743,2019-12-26T01:28:52.220000Z,2019-12-26T01:28:52.470000Z
2019-12-26T01:32:37.710000Z,5M.AST.,P,0.22651800513267517,2019-12-26T01:32:37.600000Z,2019-12-26T01:32:37.960000Z
2019-12-26T01:33:52.440000Z,5M.AST.,P,0.2591616213321686,2019-12-26T01:33:52.300000Z,2019-12-26T01:33:52.670000Z
2019-12-26T01:34:57.940000Z,5M.AST.,P,0.28500717878341675,2019-12-26T01:34:57.770000Z,2019-12-26T01:34:58.350000Z
2019-12-26T01:36:17.470000Z,5M.AST.,S,0.20951826870441437,2019-12-26T01:36:17.410000Z,2019-12-26T01:36:17.680000Z
2019-12-26T01:39:18.740000Z,5M.AST.,P,0.29156091809272766,2019-12-26T01:39:18.520000Z,2019-12-26T01:39:19.010000Z
2019-12-26T01:45:38.150000Z,5M.AST.,S,0.24234843254089355,2019-12-26T01:45:38.020000Z,2019-12-26T01:45:38.420000Z
2019-12-26T01:46:49.310000Z,5M.AST.,S,0.3495180606842041,2019-12-26T01:46:49.110000Z,2019-12-26T01:46:49.630000Z
2019-12-26T01:48:59.720000Z,5M.AST.,P,0.2269706130027771,2019-12-26T01:48:59.680000Z,2019-12-26T01:49:00.040000Z
2019-12-26T01:55:21.300000Z,5M.AST.,P,0.2763521373271942,2019-12-26T01:55:21.160000Z,2019-12-26T01:55:21.620000Z
2019-12-26T02:03:07.920000Z,5M.AST.,P,0.217794269323349,2019-12-26T02:03:07.820000Z,2019-12-26T02:03:08.170000Z
2019-12-26T02:04:16.190000Z,5M.AST.,P,0.6391764879226685,2019-12-26T02:04:15.900000Z,2019-12-26T02:04:16.620000Z
2019-12-26T02:04:19.240000Z,5M.AST.,S,0.3997146189212799,2019-12-26T02:04:18.940000Z,2019-12-26T02:04:19.540000Z
2019-12-26T02:07:47.750000Z,5M.AST.,P,0.4731971323490143,2019-12-26T02:07:47.590000Z,2019-12-26T02:07:48.110000Z
2019-12-26T02:13:57.350000Z,5M.AST.,P,0.27419906854629517,2019-12-26T02:13:57.230000Z,2019-12-26T02:13:57.710000Z
2019-12-26T02:17:58.170000Z,5M.AST.,P,0.2478783279657364,2019-12-26T02:17:57.940000Z,2019-12-26T02:17:58.490000Z
2019-12-26T02:23:00.840000Z,5M.AST.,P,0.39020395278930664,2019-12-26T02:23:00.600000Z,2019-12-26T02:23:01.160000Z
2019-12-26T02:26:50.630000Z,5M.AST.,P,0.33423930406570435,2019-12-26T02:26:50.420000Z,2019-12-26T02:26:50.920000Z
2019-12-26T02:29:17.260000Z,5M.AST.,P,0.2272045612335205,2019-12-26T02:29:17.170000Z,2019-12-26T02:29:17.510000Z
2019-12-26T02:38:03.480000Z,5M.AST.,P,0.6191163659095764,2019-12-26T02:38:03.160000Z,2019-12-26T02:38:03.890000Z
2019-12-26T02:41:49.040000Z,5M.AST.,P,0.2912561893463135,2019-12-26T02:41:48.960000Z,2019-12-26T02:41:49.340000Z
2019-12-26T02:43:37.410000Z,5M.AST.,S,0.20967644453048706,2019-12-26T02:43:37.340000Z,2019-12-26T02:43:37.650000Z
2019-12-26T02:45:55.660000Z,5M.AST.,P,0.4757550060749054,2019-12-26T02:45:55.380000Z,2019-12-26T02:45:56.040000Z
2019-12-26T02:57:47.590000Z,5M.AST.,P,0.2551824450492859,2019-12-26T02:57:47.370000Z,2019-12-26T02:57:47.890000Z
2019-12-26T03:01:13.130000Z,5M.AST.,S,0.21782147884368896,2019-12-26T03:01:13.090000Z,2019-12-26T03:01:13.450000Z
2019-12-26T03:06:59.920000Z,5M.AST.,P,0.27230367064476013,2019-12-26T03:06:59.710000Z,2019-12-26T03:07:00.220000Z
2019-12-26T03:09:09.280000Z,5M.AST.,P,0.4934128522872925,2019-12-26T03:09:08.920000Z,2019-12-26T03:09:10.140000Z
2019-12-26T03:13:27.440000Z,5M.AST.,P,0.37182140350341797,2019-12-26T03:13:27.220000Z,2019-12-26T03:13:27.790000Z
2019-12-26T03:17:22.710000Z,5M.AST.,S,0.30531805753707886,2019-12-26T03:17:22.390000Z,2019-12-26T03:17:23.160000Z
2019-12-26T03:40:34.350000Z,5M.AST.,P,0.30482736229896545,2019-12-26T03:40:34.100000Z,2019-12-26T03:40:34.740000Z
2019-12-26T03:43:30.040000Z,5M.AST.,P,0.2533973455429077,2019-12-26T03:43:29.890000Z,2019-12-26T03:43:30.380000Z
2019-12-26T03:46:56.580000Z,5M.AST.,P,0.22103363275527954,2019-12-26T03:46:56.570000Z,2019-12-26T03:46:56.960000Z
2019-12-26T03:49:55.760000Z,5M.AST.,S,0.2042165845632553,2019-12-26T03:49:55.740000Z,2019-12-26T03:49:56.080000Z
2019-12-26T03:52:34.810000Z,5M.AST.,P,0.28650856018066406,2019-12-26T03:52:34.680000Z,2019-12-26T03:52:35.100000Z
2019-12-26T03:56:44.260000Z,5M.AST.,S,0.22517359256744385,2019-12-26T03:56:44.140000Z,2019-12-26T03:56:44.560000Z
2019-12-26T03:57:36.900000Z,5M.AST.,P,0.29182517528533936,2019-12-26T03:57:36.700000Z,2019-12-26T03:57:36.980000Z
2019-12-26T03:59:14.890000Z,5M.AST.,P,0.3087194561958313,2019-12-26T03:59:14.720000Z,2019-12-26T03:59:15.220000Z
2019-12-26T04:04:41.820000Z,5M.AST.,P,0.3443595767021179,2019-12-26T04:04:41.550000Z,2019-12-26T04:04:42.090000Z
2019-12-26T04:13:27.610000Z,5M.AST.,S,0.2963162362575531,2019-12-26T04:13:27.550000Z,2019-12-26T04:13:27.900000Z
2019-12-26T04:13:27.660000Z,5M.AST.,P,0.3134874701499939,2019-12-26T04:13:27.630000Z,2019-12-26T04:13:27.940000Z
2019-12-26T04:18:33.560000Z,5M.AST.,S,0.26309633255004883,2019-12-26T04:18:33.390000Z,2019-12-26T04:18:33.870000Z
2019-12-26T04:26:46.990000Z,5M.AST.,P,0.2088925838470459,2019-12-26T04:26:46.950000Z,2019-12-26T04:26:47.320000Z
2019-12-26T04:26:48.310000Z,5M.AST.,P,0.23963333666324615,2019-12-26T04:26:48.230000Z,2019-12-26T04:26:48.560000Z
2019-12-26T04:27:44.670000Z,5M.AST.,P,0.33576443791389465,2019-12-26T04:27:44.370000Z,2019-12-26T04:27:45.110000Z
2019-12-26T04:29:58.290000Z,5M.AST.,P,0.21129664778709412,2019-12-26T04:29:58.290000Z,2019-12-26T04:29:58.410000Z
2019-12-26T04:32:57.810000Z,5M.AST.,P,0.30299580097198486,2019-12-26T04:32:57.600000Z,2019-12-26T04:32:58.200000Z
2019-12-26T04:34:30.050000Z,5M.AST.,S,0.22377151250839233,2019-12-26T04:34:29.980000Z,2019-12-26T04:34:30.290000Z
2019-12-26T04:39:58.720000Z,5M.AST.,P,0.6665526628494263,2019-12-26T04:39:58.510000Z,2019-12-26T04:39:59.150000Z
2019-12-26T04:41:29.170000Z,5M.AST.,P,0.3220699429512024,2019-12-26T04:41:28.990000Z,2019-12-26T04:41:29.530000Z
2019-12-26T04:45:43.890000Z,5M.AST.,P,0.2266242653131485,2019-12-26T04:45:43.850000Z,2019-12-26T04:45:44.160000Z
2019-12-26T04:52:54.180000Z,5M.AST.,P,0.4591203033924103,2019-12-26T04:52:53.890000Z,2019-12-26T04:52:54.190000Z
2019-12-26T04:57:49.450000Z,5M.AST.,P,0.6539815068244934,2019-12-26T04:57:49.120000Z,2019-12-26T04:57:49.850000Z
2019-12-26T04:58:25.540000Z,5M.AST.,P,0.2497401237487793,2019-12-26T04:58:25.400000Z,2019-12-26T04:58:25.720000Z
2019-12-26T05:08:17.640000Z,5M.AST.,P,0.2036070078611374,2019-12-26T05:08:17.620000Z,2019-12-26T05:08:18.090000Z
2019-12-26T05:08:23.530000Z,5M.AST.,S,0.33174240589141846,2019-12-26T05:08:23.300000Z,2019-12-26T05:08:23.860000Z
2019-12-26T05:26:40.540000Z,5M.AST.,P,0.2030210793018341,2019-12-26T05:26:40.540000Z,2019-12-26T05:26:40.540000Z
