time,trace_id,phase,prob,start,end
2019-12-26T00:32:22.270000Z,5M.BYE.,P,0.23576587438583374,2019-12-26T00:32:22.110000Z,2019-12-26T00:32:22.530000Z
2019-12-26T00:36:11.350000Z,5M.BYE.,P,0.4552670121192932,2019-12-26T00:36:11.130000Z,2019-12-26T00:36:11.720000Z
2019-12-26T01:38:44.260000Z,5M.BYE.,P,0.2503296732902527,2019-12-26T01:38:44.050000Z,2019-12-26T01:38:44.500000Z
2019-12-26T02:26:11.290000Z,5M.BYE.,P,0.6321251392364502,2019-12-26T02:26:10.920000Z,2019-12-26T02:26:11.680000Z
2019-12-26T02:28:11.390000Z,5M.BYE.,P,0.5775131583213806,2019-12-26T02:28:11.120000Z,2019-12-26T02:28:11.790000Z
2019-12-26T03:46:11.190000Z,5M.BYE.,P,0.21931448578834534,2019-12-26T03:46:11.110000Z,2019-12-26T03:46:11.990000Z
2019-12-26T04:17:44.990000Z,5M.BYE.,P,0.2587660253047943,2019-12-26T04:17:44.890000Z,2019-12-26T04:17:45.280000Z
2019-12-26T05:11:45.150000Z,5M.BYE.,P,0.2906423807144165,2019-12-26T05:11:44.910000Z,2019-12-26T05:11:45.460000Z
2019-12-26T06:46:26.530000Z,5M.BYE.,P,0.3054516315460205,2019-12-26T06:46:26.280000Z,2019-12-26T06:46:26.760000Z
2019-12-26T07:01:11.160000Z,5M.BYE.,P,0.2587331235408783,2019-12-26T07:01:10.910000Z,2019-12-26T07:01:11.970000Z
2019-12-26T07:39:50.150000Z,5M.BYE.,P,0.3521037995815277,2019-12-26T07:39:49.950000Z,2019-12-26T07:39:50.760000Z
2019-12-26T08:12:49.660000Z,5M.BYE.,P,0.5556935667991638,2019-12-26T08:12:49.350000Z,2019-12-26T08:12:50.010000Z
2019-12-26T09:14:46.300000Z,5M.BYE.,P,0.20445120334625244,2019-12-26T09:14:46.290000Z,2019-12-26T09:14:46.620000Z
2019-12-26T09:53:21.300000Z,5M.BYE.,P,0.2610119879245758,2019-12-26T09:53:21.240000Z,2019-12-26T09:53:21.650000Z
2019-12-26T10:26:08.240000Z,5M.BYE.,P,0.3446487486362457,2019-12-26T10:26:08.100000Z,2019-12-26T10:26:08.560000Z
2019-12-26T10:27:00.610000Z,5M.BYE.,P,0.23334567248821259,2019-12-26T10:27:00.520000Z,2019-12-26T10:27:00.990000Z
2019-12-26T10:29:23.460000Z,5M.BYE.,P,0.2614608407020569,2019-12-26T10:29:23.380000Z,2019-12-26T10:29:23.700000Z
2019-12-26T10:57:56.350000Z,5M.BYE.,P,0.2315327376127243,2019-12-26T10:57:56.310000Z,2019-12-26T10:57:56.650000Z
2019-12-26T11:38:43.220000Z,5M.BYE.,P,0.24038530886173248,2019-12-26T11:38:43.140000Z,2019-12-26T11:38:43.610000Z
2019-12-26T13:26:11.050000Z,5M.BYE.,P,0.6597617864608765,2019-12-26T13:26:10.680000Z,2019-12-26T13:26:11.550000Z
