time,trace_id,phase,prob,start,end
2019-12-26T00:12:50.630000Z,5M.FER.,S,0.3081560432910919,2019-12-26T00:12:50.450000Z,2019-12-26T00:12:50.920000Z
2019-12-26T00:33:48.490000Z,5M.FER.,P,0.47313711047172546,2019-12-26T00:33:48.130000Z,2019-12-26T00:33:48.830000Z
2019-12-26T00:56:30.550000Z,5M.FER.,P,0.4683710038661957,2019-12-26T00:56:30.180000Z,2019-12-26T00:56:31.020000Z
2019-12-26T01:44:20.360000Z,5M.FER.,S,0.3524557948112488,2019-12-26T01:44:20.140000Z,2019-12-26T01:44:20.760000Z
2019-12-26T01:47:48.000000Z,5M.FER.,P,0.22320522367954254,2019-12-26T01:47:47.910000Z,2019-12-26T01:47:48.290000Z
2019-12-26T02:13:48.260000Z,5M.FER.,S,0.23836344480514526,2019-12-26T02:13:48.170000Z,2019-12-26T02:13:48.570000Z
2019-12-26T02:18:10.760000Z,5M.FER.,S,0.21030372381210327,2019-12-26T02:18:10.670000Z,2019-12-26T02:18:10.960000Z
2019-12-26T02:36:01.120000Z,5M.FER.,P,0.20523495972156525,2019-12-26T02:36:01.090000Z,2019-12-26T02:36:01.600000Z
2019-12-26T02:38:36.470000Z,5M.FER.,P,0.39448654651641846,2019-12-26T02:38:36.160000Z,2019-12-26T02:38:36.830000Z
2019-12-26T02:54:34.070000Z,5M.FER.,P,0.2094513475894928,2019-12-26T02:54:34.030000Z,2019-12-26T02:54:34.320000Z
2019-12-26T03:10:14.200000Z,5M.FER.,P,0.2472957819700241,2019-12-26T03:10:14.070000Z,2019-12-26T03:10:14.570000Z
2019-12-26T03:14:38.540000Z,5M.FER.,P,0.20985913276672363,2019-12-26T03:14:38.500000Z,2019-12-26T03:14:38.720000Z
2019-12-26T03:14:50.550000Z,5M.FER.,P,0.44294098019599915,2019-12-26T03:14:50.300000Z,2019-12-26T03:14:50.860000Z
2019-12-26T03:23:36.120000Z,5M.FER.,P,0.3257265090942383,2019-12-26T03:23:35.880000Z,2019-12-26T03:23:36.410000Z
2019-12-26T03:45:37.300000Z,5M.FER.,P,0.30563536286354065,2019-12-26T03:45:37.080000Z,2019-12-26T03:45:37.540000Z
2019-12-26T04:13:10.490000Z,5M.FER.,P,0.5516417622566223,2019-12-26T04:13:10.100000Z,2019-12-26T04:13:10.870000Z
2019-12-26T04:31:41.140000Z,5M.FER.,P,0.2953850328922272,2019-12-26T04:31:40.930000Z,2019-12-26T04:31:41.420000Z
2019-12-26T05:09:10.410000Z,5M.FER.,P,0.23524264991283417,2019-12-26T05:09:10.330000Z,2019-12-26T05:09:10.850000Z
2019-12-26T05:09:42.980000Z,5M.FER.,P,0.25442594289779663,2019-12-26T05:09:42.830000Z,2019-12-26T05:09:43.280000Z
2019-12-26T05:13:27.910000Z,5M.FER.,P,0.4618326723575592,2019-12-26T05:13:27.590000Z,2019-12-26T05:13:28.280000Z
2019-12-26T05:25:09.570000Z,5M.FER.,P,0.3419213891029358,2019-12-26T05:25:09.350000Z,2019-12-26T05:25:10.000000Z
2019-12-26T05:52:28.040000Z,5M.FER.,P,0.25508591532707214,2019-12-26T05:52:27.900000Z,2019-12-26T05:52:28.350000Z
2019-12-26T05:59:58.720000Z,5M.FER.,S,0.24764877557754517,2019-12-26T05:59:58.570000Z,2019-12-26T05:59:59.150000Z
2019-12-26T06:07:13.050000Z,5M.FER.,P,0.2003268152475357,2019-12-26T06:07:13.050000Z,2019-12-26T06:07:13.800000Z
2019-12-26T06:41:52.540000Z,5M.FER.,P,0.5410536527633667,2019-12-26T06:41:52.160000Z,2019-12-26T06:41:53.070000Z
2019-12-26T06:47:14.970000Z,5M.FER.,P,0.22190648317337036,2019-12-26T06:47:14.900000Z,2019-12-26T06:47:15.410000Z
2019-12-26T06:52:00.750000Z,5M.FER.,P,0.20040203630924225,2019-12-26T06:52:00.730000Z,2019-12-26T06:52:01.000000Z
2019-12-26T07:04:53.350000Z,5M.FER.,P,0.2735905647277832,2019-12-26T07:04:53.180000Z,2019-12-26T07:04:53.770000Z
2019-12-26T07:08:46.310000Z,5M.FER.,P,0.20805040001869202,2019-12-26T07:08:46.270000Z,2019-12-26T07:08:46.550000Z
2019-12-26T07:13:08.800000Z,5M.FER.,P,0.2523970603942871,2019-12-26T07:13:08.620000Z,2019-12-26T07:13:09.050000Z
2019-12-26T07:53:11.140000Z,5M.FER.,P,0.3425161838531494,2019-12-26T07:53:10.910000Z,2019-12-26T07:53:11.450000Z
2019-12-26T09:24:24.440000Z,5M.FER.,P,0.3177441358566284,2019-12-26T09:24:24.240000Z,2019-12-26T09:24:24.830000Z
2019-12-26T09:53:03.150000Z,5M.FER.,P,0.25053882598876953,2019-12-26T09:53:03.030000Z,2019-12-26T09:53:03.490000Z
2019-12-26T09:53:08.070000Z,5M.FER.,S,0.3091709017753601,2019-12-26T09:53:07.840000Z,2019-12-26T09:53:08.400000Z
2019-12-26T10:03:56.550000Z,5M.FER.,P,0.21005916595458984,2019-12-26T10:03:56.390000Z,2019-12-26T10:03:56.630000Z
2019-12-26T10:58:37.460000Z,5M.FER.,P,0.2674104869365692,2019-12-26T10:58:37.260000Z,2019-12-26T10:58:37.800000Z
2019-12-26T11:02:29.620000Z,5M.FER.,P,0.2593439817428589,2019-12-26T11:02:29.380000Z,2019-12-26T11:02:29.960000Z
2019-12-26T11:18:53.930000Z,5M.FER.,P,0.2231283336877823,2019-12-26T11:18:53.840000Z,2019-12-26T11:18:54.190000Z
2019-12-26T12:08:28.060000Z,5M.FER.,P,0.21463795006275177,2019-12-26T12:08:27.920000Z,2019-12-26T12:08:28.660000Z
2019-12-26T12:42:47.950000Z,5M.FER.,P,0.28481191396713257,2019-12-26T12:42:47.730000Z,2019-12-26T12:42:48.350000Z
2019-12-26T12:42:54.330000Z,5M.FER.,P,0.27981698513031006,2019-12-26T12:42:54.090000Z,2019-12-26T12:42:54.620000Z
2019-12-26T12:55:33.980000Z,5M.FER.,P,0.26951396465301514,2019-12-26T12:55:33.470000Z,2019-12-26T12:55:34.350000Z
2019-12-26T13:23:49.330000Z,5M.FER.,S,0.3042314946651459,2019-12-26T13:23:48.850000Z,2019-12-26T13:23:49.650000Z
2019-12-26T13:57:53.590000Z,5M.FER.,P,0.20037469267845154,2019-12-26T13:57:53.550000Z,2019-12-26T13:57:53.960000Z
2019-12-26T14:23:22.400000Z,5M.FER.,P,0.39269715547561646,2019-12-26T14:23:22.140000Z,2019-12-26T14:23:22.760000Z
2019-12-26T14:43:05.820000Z,5M.FER.,P,0.3516547381877899,2019-12-26T14:43:05.560000Z,2019-12-26T14:43:06.240000Z
2019-12-26T14:43:09.710000Z,5M.FER.,S,0.3278099298477173,2019-12-26T14:43:09.450000Z,2019-12-26T14:43:10.480000Z
2019-12-26T15:15:38.730000Z,5M.FER.,P,0.7620702981948853,2019-12-26T15:15:38.340000Z,2019-12-26T15:15:39.090000Z
2019-12-26T15:15:46.320000Z,5M.FER.,P,0.21725013852119446,2019-12-26T15:15:46.300000Z,2019-12-26T15:15:46.590000Z
2019-12-26T15:38:09.400000Z,5M.FER.,P,0.24822865426540375,2019-12-26T15:38:09.270000Z,2019-12-26T15:38:09.830000Z
2019-12-26T15:44:52.030000Z,5M.FER.,P,0.29082074761390686,2019-12-26T15:44:51.780000Z,2019-12-26T15:44:53.080000Z
2019-12-26T15:55:05.620000Z,5M.FER.,P,0.28855395317077637,2019-12-26T15:55:05.350000Z,2019-12-26T15:55:06.020000Z
2019-12-26T16:25:29.150000Z,5M.FER.,P,0.21076661348342896,2019-12-26T16:25:29.090000Z,2019-12-26T16:25:30.020000Z
2019-12-26T16:38:30.240000Z,5M.FER.,P,0.20903491973876953,2019-12-26T16:38:30.200000Z,2019-12-26T16:38:30.570000Z
2019-12-26T16:39:48.740000Z,5M.FER.,P,0.44231268763542175,2019-12-26T16:39:48.420000Z,2019-12-26T16:39:49.150000Z
2019-12-26T16:44:27.030000Z,5M.FER.,P,0.2612582743167877,2019-12-26T16:44:26.600000Z,2019-12-26T16:44:27.380000Z
2019-12-26T16:44:52.290000Z,5M.FER.,P,0.32307571172714233,2019-12-26T16:44:52.030000Z,2019-12-26T16:44:52.610000Z
2019-12-26T16:48:38.700000Z,5M.FER.,P,0.3350565731525421,2019-12-26T16:48:38.430000Z,2019-12-26T16:48:39.360000Z
2019-12-26T16:49:47.980000Z,5M.FER.,P,0.4614720344543457,2019-12-26T16:49:47.680000Z,2019-12-26T16:49:48.410000Z
2019-12-26T16:53:05.060000Z,5M.FER.,P,0.41543275117874146,2019-12-26T16:53:04.690000Z,2019-12-26T16:53:05.480000Z
2019-12-26T17:23:57.900000Z,5M.FER.,P,0.2172843962907791,2019-12-26T17:23:57.720000Z,2019-12-26T17:23:58.240000Z
2019-12-26T17:24:43.910000Z,5M.FER.,P,0.5421367287635803,2019-12-26T17:24:43.680000Z,2019-12-26T17:24:44.500000Z
2019-12-26T17:24:45.880000Z,5M.FER.,S,0.38282811641693115,2019-12-26T17:24:45.560000Z,2019-12-26T17:24:46.300000Z
2019-12-26T17:25:29.070000Z,5M.FER.,S,0.4139680862426758,2019-12-26T17:25:28.670000Z,2019-12-26T17:25:29.460000Z
2019-12-26T17:32:50.650000Z,5M.FER.,P,0.20284909009933472,2019-12-26T17:32:50.630000Z,2019-12-26T17:32:51.100000Z
2019-12-26T18:04:55.860000Z,5M.FER.,P,0.38083264231681824,2019-12-26T18:04:55.270000Z,2019-12-26T18:04:56.190000Z
2019-12-26T18:04:59.090000Z,5M.FER.,S,0.27561846375465393,2019-12-26T18:04:58.870000Z,2019-12-26T18:04:59.440000Z
2019-12-26T18:45:39.400000Z,5M.FER.,P,0.634680449962616,2019-12-26T18:45:39.030000Z,2019-12-26T18:45:39.890000Z
