time,trace_id,phase,prob,start,end
2019-12-26T00:09:18.450000Z,AI.JUBA.02,P,0.3316074013710022,2019-12-26T00:09:18.180000Z,2019-12-26T00:09:18.900000Z
2019-12-26T00:09:21.200000Z,AI.JUBA.02,S,0.43171703815460205,2019-12-26T00:09:20.860000Z,2019-12-26T00:09:21.650000Z
2019-12-26T02:21:55.630000Z,AI.JUBA.02,S,0.38928285241127014,2019-12-26T02:21:55.260000Z,2019-12-26T02:21:56.000000Z
2019-12-26T03:23:38.770000Z,AI.JUBA.02,S,0.2883148491382599,2019-12-26T03:23:38.480000Z,2019-12-26T03:23:39.150000Z
2019-12-26T03:49:18.400000Z,AI.JUBA.02,S,0.2297629565000534,2019-12-26T03:49:18.320000Z,2019-12-26T03:49:18.690000Z
2019-12-26T04:23:32.810000Z,AI.JUBA.02,S,0.266499787569046,2019-12-26T04:23:32.620000Z,2019-12-26T04:23:33.170000Z
2019-12-26T05:24:00.560000Z,AI.JUBA.02,S,0.24042630195617676,2019-12-26T05:24:00.450000Z,2019-12-26T05:24:01.190000Z
2019-12-26T05:47:57.710000Z,AI.JUBA.02,S,0.290303111076355,2019-12-26T05:47:57.460000Z,2019-12-26T05:47:57.990000Z
2019-12-26T10:26:46.690000Z,AI.JUBA.02,S,0.2402506023645401,2019-12-26T10:26:46.610000Z,2019-12-26T10:26:46.970000Z
2019-12-26T12:27:43.280000Z,AI.JUBA.02,S,0.4532780051231384,2019-12-26T12:27:42.770000Z,2019-12-26T12:27:43.690000Z
2019-12-26T13:19:51.270000Z,AI.JUBA.02,S,0.22818726301193237,2019-12-26T13:19:51.180000Z,2019-12-26T13:19:51.560000Z
2019-12-26T14:42:26.870000Z,AI.JUBA.02,S,0.22757649421691895,2019-12-26T14:42:26.720000Z,2019-12-26T14:42:27.240000Z
2019-12-26T15:49:03.020000Z,AI.JUBA.02,S,0.4193964898586273,2019-12-26T15:49:02.730000Z,2019-12-26T15:49:03.380000Z
2019-12-26T16:42:20.530000Z,AI.JUBA.02,S,0.5687752962112427,2019-12-26T16:42:20.100000Z,2019-12-26T16:42:21.020000Z
2019-12-26T22:53:25.710000Z,AI.JUBA.02,S,0.22991260886192322,2019-12-26T22:53:25.530000Z,2019-12-26T22:53:26.080000Z
2019-12-26T23:39:40.060000Z,AI.JUBA.02,S,0.4300846457481384,2019-12-26T23:39:39.770000Z,2019-12-26T23:39:40.440000Z
2019-12-26T00:09:21.170000Z,AI.JUBA.04,S,0.38896608352661133,2019-12-26T00:09:20.830000Z,2019-12-26T00:09:21.610000Z
2019-12-26T00:56:33.420000Z,AI.JUBA.02,P,0.32650554180145264,2019-12-26T00:56:33.100000Z,2019-12-26T00:56:33.840000Z
2019-12-26T01:12:34.300000Z,AI.JUBA.02,P,0.2647218704223633,2019-12-26T01:12:34.130000Z,2019-12-26T01:12:34.620000Z
2019-12-26T01:24:03.650000Z,AI.JUBA.02,P,0.40358495712280273,2019-12-26T01:24:03.420000Z,2019-12-26T01:24:04.020000Z
2019-12-26T02:21:52.790000Z,AI.JUBA.02,P,0.23016726970672607,2019-12-26T02:21:52.740000Z,2019-12-26T02:21:53.120000Z
2019-12-26T02:21:55.590000Z,AI.JUBA.04,S,0.5059711337089539,2019-12-26T02:21:55.290000Z,2019-12-26T02:21:55.930000Z
